,song_uri,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,duration_ms
0,6fA7akEuTUL3dW1V0GELaZ,6,0,0.527,0.518,0.0404,0.83,3.85e-06,0.375,-6.814,0.0386,95.468,4,256133
1,5PXYIVQZ8xmNoONoHzbrv2,11,0,0.763,0.739,0.00947,0.947,2.99e-05,0.326,-1.915,0.0412,88.009,4,261933
2,7mCRbaZCjHY2soGQPw93cY,2,1,0.427,0.46,5.44e-05,0.829,9.2e-05,0.227,-6.266,0.0355,155.843,4,316733
3,1kuZSCuFZh718pUEMhgfSs,6,0,0.762,0.783,0.0817,0.58,0.0,0.0831,-7.398,0.298,93.026,4,284360
4,4pmc2AxSEq6g7hPVlJCPyP,1,1,0.683,0.771,0.00543,0.685,0.00157,0.0537,-4.639,0.0567,88.997,4,230200
5,60e1nB8fP9h4Yw44sIfeQx,2,1,0.714,0.706,0.119,0.888,9.64e-05,0.07,-6.959,0.0654,121.549,4,253733
6,5ZPp1V3PufN6qhAe3rLNmb,11,0,0.527,0.544,0.00657,0.878,1.43e-05,0.17,-5.145,0.0288,99.024,4,233827
7,6LCbPOnvjxSaRnNBKH1JII,10,0,0.669,0.829,0.085,0.86,0.0,0.0412,-6.381,0.0845,107.91,4,202707
8,27cXevtj5VflsCUAZwr9eI,7,1,0.834,0.738,0.00153,0.852,0.0895,0.178,-6.13,0.0766,119.735,4,225813
9,1G6fZu8udnnkJgg8NUoHak,5,0,0.791,0.773,0.0791,0.8,0.00259,0.11,-2.875,0.0825,99.295,4,264940
10,231WyXR4WZi64gPSuOC27u,0,1,0.818,0.754,0.0684,0.819,0.0,0.345,-6.833,0.112,142.137,4,215800
11,0WWKJsCjOAhymkdt8GuKTt,11,1,0.256,0.661,0.452,0.346,0.0,0.131,-9.115,0.03,129.752,4,263667
12,62bOmKYxYg7dhrC6gH9vFn,8,0,0.861,0.61,0.031,0.926,0.0012,0.0821,-4.843,0.0479,172.638,4,200400
13,2dwhMQsFeHr2S787WxqAqW,10,1,0.741,0.578,0.0103,0.894,2.66e-06,0.216,-5.42,0.0296,165.98,4,347107
14,7ffwRz8lZyDOE4Vj58Lo72,3,0,0.792,0.813,0.486,0.949,9.75e-06,0.112,-2.563,0.0336,115.061,4,227707
15,5iKYZAcAchghry6h8Iu5IL,10,0,0.873,0.813,0.235,0.487,7.59e-05,0.0928,-9.78,0.0783,99.0,4,276225
16,2uKNZ4Iim41yoGWpCTcq9Z,1,0,0.272,0.746,0.282,0.443,0.0,0.14,-7.693,0.0771,119.311,4,274227
17,5TAf4lnZCZTLlZHNZMLFLi,2,1,0.736,0.593,0.313,0.642,0.000582,0.0804,-7.284,0.0299,76.403,4,239440
18,2AW37v0bDyuOzGP3XnmFuA,0,0,0.908,0.636,0.0407,0.873,1.27e-06,0.0372,-4.672,0.071,165.071,4,192427
19,2qvKMaube0P8BogoUVQQxm,9,1,0.588,0.628,0.132,0.886,0.0,0.118,-5.357,0.0422,93.017,4,241147
20,5pZrTiyyerSGHUJExDCOxZ,2,1,0.565,0.865,0.00689,0.664,0.0,0.142,-6.822,0.108,162.831,4,287000
21,3X64nkPL7Tt6dM2lzxfdBC,0,1,0.758,0.694,0.0359,0.553,0.0,0.0581,-7.653,0.0284,88.064,4,227093
22,3BsaRV5QIulYz2lV9WWa8T,6,0,0.683,0.63,0.231,0.625,0.0,0.0765,-5.088,0.0252,167.998,4,234960
23,7mYvtEeBdMqRSyj1Qpv6my,1,1,0.527,0.727,0.339,0.445,0.0,0.18,-11.241,0.291,81.125,4,215467
24,4D6bsg0MqGF0PIZLgDydWp,7,1,0.958,0.623,0.0717,0.909,3.17e-05,0.0579,-4.78,0.0312,104.617,4,221653
25,4pqMBZjWHGHFePmboG9h5v,5,0,0.559,0.634,0.014,0.641,0.0013,0.148,-8.333,0.031,135.01,4,239213
26,52v5O1yuKDZEWwQ1sv0YTL,7,1,0.674,0.504,0.00458,0.948,0.0,0.135,-3.285,0.0962,97.015,4,190759
27,4pldO6ZS749Piqi4GISql8,0,1,0.202,0.321,0.0361,0.688,0.0,0.211,-5.775,0.0379,142.79,4,235267
28,2N4viTG9njqCa4c46YyWs1,1,0,0.542,0.683,0.0395,0.866,0.00161,0.0483,-5.436,0.0329,121.996,4,219360
29,4uCHiuS88rfDOgEQfGYnu7,8,1,0.962,0.845,0.0263,0.827,0.000376,0.329,-5.618,0.0424,118.903,4,189907
30,2WfhlEjoUII31H6imnQdvF,10,0,0.927,0.839,0.0324,0.641,4.56e-06,0.0602,-5.669,0.0858,97.004,4,242560
31,12qZHAeOyTf93YAWvGDTat,0,1,0.712,0.442,0.00844,0.893,0.0,0.529,-4.878,0.0505,148.119,4,168000
32,6vgN6KGstss0GnBbKlMNK9,2,1,0.734,0.627,0.127,0.716,0.0,0.0344,-7.175,0.0352,101.99,4,186067
33,13pG2aMM5FWBvVgSfp08fv,1,1,0.298,0.599,0.38,0.47,0.0,0.111,-8.356,0.0376,127.177,4,273707
34,6jI7mAgjr5XByJ5pi7tCfv,4,1,0.967,0.728,0.0814,0.94,0.000162,0.109,-5.034,0.0368,113.76,4,237240
35,046MBhhgQJJghnbgZCkaAR,7,1,0.564,0.478,0.02,0.736,9.58e-05,0.118,-7.124,0.0367,144.705,4,229827
36,1RS3LStQYhju50eBdD9Uul,10,1,0.148,0.348,0.592,0.532,0.0,0.106,-5.882,0.0331,129.297,4,257360
37,1PmHkalaUHhh0fz23SBHDL,1,1,0.891,0.761,0.175,0.627,0.0,0.128,-5.554,0.0538,109.821,4,263227
38,1ckU1EhAO0Nr73QYw24SWJ,7,1,0.473,0.77,0.0561,0.475,4.72e-06,0.0607,-9.512,0.159,82.511,4,261573
39,3jidVkVSRVg2H5TGwhLCLj,5,0,0.963,0.729,0.0231,0.881,0.0,0.0872,-5.024,0.0283,118.58,4,182267
40,2yAVzRiEQooPEJ9SYx11L3,7,0,0.765,0.822,0.259,0.969,0.000153,0.39,-11.471,0.0582,128.007,4,283748
41,3zYufmyv6HOuiHn1eMR6Ja,0,0,0.147,0.586,0.011,0.659,0.0,0.106,-7.92,0.0304,111.989,4,285960
42,7KccdUP4IslFXUNNseqBc7,5,0,0.77,0.948,0.0287,0.656,0.0,0.0472,-4.34,0.0606,104.495,4,284533
43,6gEioWsXbaNY025YFTYaBE,11,0,0.692,0.753,0.0392,0.745,0.00321,0.0664,-5.698,0.0312,97.919,4,298933
44,3NEzjZbeSCy72Kx1clSYgC,7,0,0.726,0.829,0.067,0.652,0.0,0.0812,-8.693,0.108,99.581,4,243159
45,7tBTYzFlsTop8Fc6UwKgaL,2,0,0.778,0.625,0.123,0.822,0.0,0.145,-4.777,0.035,96.555,4,261093
46,6naxalmIoLFWR0siv8dnQQ,1,0,0.894,0.751,0.3,0.834,1.77e-05,0.355,-5.444,0.0437,95.053,4,211160
47,5gZEhPrN1VLqTG1nIAXeNK,4,0,0.0743,0.59,0.156,0.666,0.0,0.136,-4.047,0.0244,104.042,4,263800
48,3vBCidtb2COLLFOYv9ngxV,8,1,0.259,0.562,0.678,0.493,0.0,0.14,-7.913,0.0341,80.987,4,223469
49,2c5wml8wsBnPfNSbCZ574T,2,1,0.276,0.446,0.000103,0.762,7.2e-05,0.26,-8.971,0.0422,98.993,4,359520
50,64BbK9SFKH2jk86U3dGj2P,0,1,0.513,0.458,0.00316,0.795,0.000202,0.0756,-3.265,0.0574,123.229,4,255373
51,3LL7bpdVHDSGq0qv3t7nU6,4,0,0.394,0.53,0.192,0.752,0.0,0.476,-10.621,0.37,137.591,4,261101
52,1MOqMyQ7CULmWWjovkFY5B,0,1,0.252,0.565,0.579,0.547,0.0,0.194,-7.722,0.0347,75.018,4,209320
53,3VEZvzr84WVnoorZ4tlBSw,8,0,0.508,0.721,0.112,0.836,0.0,0.235,-3.972,0.206,126.279,4,244053
54,3UrD2ZM5xfp3wThKlyZzSY,0,1,0.643,0.798,0.247,0.48,0.0,0.237,-5.564,0.0276,108.241,4,255600
55,3lqT89gv8p3PYwXtr3ODjv,1,1,0.224,0.736,0.0593,0.666,3.82e-05,0.107,-4.929,0.0337,89.824,4,226760
56,5brvhhh3IWBMhdntdi1uJw,6,1,0.533,0.694,0.000355,0.715,5.21e-06,0.214,-4.294,0.0267,127.989,4,292427
57,5nBQ3h196Qx78Im2DRErrs,4,1,0.31,0.628,0.0569,0.749,0.00204,0.134,-5.18,0.03,129.2,4,327667
58,1jRzdY7oUBOhrylNtiMtBD,7,1,0.666,0.914,0.0626,0.607,0.0,0.0515,-5.658,0.32,98.054,4,256973
59,4eboQESZB6YGrnsEgYo6eU,5,0,0.576,0.744,0.35,0.415,0.0,0.0891,-8.987,0.106,75.571,4,348893
