,song_uri,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,duration_ms
0,60jzFy6Nn4M0iD1d94oteF,11,1,0.812,0.563,0.113,0.75,0.0,0.0788,-4.496,0.127,173.906,4,222920
1,4TCL0qqKyqsMZml0G3M9IM,3,1,0.716,0.824,0.00521,0.836,0.000817,0.112,-5.903,0.0404,122.014,4,220640
2,55qBw1900pZKfXJ6Q9A2Lc,10,1,0.605,0.719,0.0132,0.804,3.02e-06,0.139,-4.581,0.0355,119.999,4,227760
3,7BqBn9nzAq8spo5e7cZ0dJ,5,1,0.424,0.635,0.0134,0.841,0.0,0.0622,-5.379,0.0422,109.021,4,220734
4,2MIqLCofYbazo7rXz5RErV,7,0,0.623,0.767,0.174,0.824,0.0,0.357,-4.558,0.0479,129.96,4,214760
5,5OiLJ8tjUPFiPX2gVM8fxJ,0,1,0.412,0.597,0.179,0.517,0.0,0.307,-6.963,0.365,92.035,4,257560
6,2igwFfvr1OAGX9SKDCPBwO,11,1,0.811,0.491,0.0295,0.956,0.0,0.46,-1.538,0.392,173.585,4,276920
7,4356Typ82hUiFAynbLYbPn,7,0,0.654,0.663,0.0338,0.861,0.0,0.082,-3.398,0.109,119.963,4,220800
8,2M9ULmQwTaTGmAdXaXpfz5,6,0,0.659,0.633,0.297,0.673,0.0,0.206,-6.403,0.258,86.776,4,211160
9,7Ie9W94M7OjPoZVV216Xus,0,0,0.668,0.855,0.529,0.954,0.0,0.205,-1.19,0.264,114.635,5,248133
10,5vlEg2fT4cFWAqU5QptIpQ,9,1,0.195,0.706,0.173,0.751,0.0,0.168,-6.323,0.0708,91.031,4,182307
11,0pBMFlAy7mQeUMQKaN4y8x,11,0,0.801,0.813,0.0771,0.627,0.000616,0.131,-5.018,0.0486,130.011,4,195853
12,38xWaVFKaxZlMFvzNff2aW,10,1,0.535,0.627,0.174,0.699,0.0,0.0789,-4.504,0.0244,94.003,4,261427
13,6vc2Jq2vaGu8z326kSrw92,1,1,0.756,0.826,0.00681,0.612,0.0,0.0889,-3.891,0.0982,120.057,4,187133
14,4vp2J1l5RD4gMZwGFLfRAu,0,1,0.61,0.743,0.0873,0.766,0.0,0.509,-6.375,0.0265,127.96,4,289133
15,3z9RppC428EaPSCtD49alh,3,1,0.441,0.57,0.0357,0.65,0.0,0.123,-6.831,0.0389,90.023,4,228747
16,2fQ6sBFWaLv2Gxos4igHLy,1,0,0.81,0.724,0.00453,0.87,0.0,0.833,-3.614,0.113,93.01,4,207547
17,4BycRneKmOs6MhYG9THsuX,6,0,0.758,0.627,0.0211,0.614,0.0,0.0286,-6.006,0.17,96.038,4,208947
18,1HHeOs6zRdF8Ck58easiAY,11,0,0.36,0.623,0.000397,0.793,0.0015,0.375,-6.63,0.0462,98.998,4,274213
19,7ksYJ95P5vP87A0GH34CIk,9,1,0.578,0.442,0.128,0.83,0.0,0.129,-4.02,0.146,89.338,4,215747
20,3ZdJffjzJWFimSQyxgGIxN,1,1,0.103,0.531,0.0421,0.752,0.0,0.12,-6.161,0.0305,89.917,4,237800
21,1WtTLtofvcjQM3sXSMkDdX,1,1,0.418,0.785,0.00248,0.498,1.23e-06,0.224,-6.977,0.0533,143.96,4,201587
22,4DvhkX2ic4zWkQeWMwQ2qf,3,1,0.778,0.435,0.00676,0.837,0.0,0.117,-8.126,0.449,124.913,4,216893
23,2DHc2e5bBn4UzY0ENVFrUl,10,0,0.272,0.531,0.114,0.574,0.0308,0.256,-6.693,0.113,115.68,5,232467
24,4fIWvT19w9PR0VVBuPYpWA,8,1,0.796,0.615,0.152,0.733,0.0,0.109,-4.808,0.0335,122.58,4,244587
25,0xcl9XT60Siji6CSG4y6nb,0,1,0.525,0.623,0.0205,0.882,0.0,0.194,-2.574,0.0322,127.98,4,232616
26,7LP4Es66zdY7CyjepqmvAg,2,1,0.683,0.657,0.0108,0.695,0.0,0.0822,-4.493,0.0321,65.997,4,212107
27,6lUY6MoqGgPnA27PHYxem5,3,0,0.682,0.674,0.000441,0.882,6.47e-05,0.068,-2.771,0.0477,123.016,4,205733
28,2zJZwWF7BTGIIvrAlgzJEx,11,1,0.711,0.615,0.0444,0.711,0.0,0.145,-5.507,0.0779,144.036,4,221253
29,6epn3r7S14KUqlReYr77hA,5,0,0.535,0.728,0.0401,0.859,0.0,0.111,-5.237,0.137,65.043,4,214240
30,2rDwdvBma1O1eLzo29p2cr,11,0,0.445,0.44,0.00706,0.683,0.0,0.0593,-4.732,0.0489,185.948,4,227320
31,0dBW6ZsW8skfvoRfgeerBF,7,1,0.658,0.624,0.00265,0.757,1.87e-06,0.189,-2.94,0.0296,121.07,4,230707
32,1VDXQhu7YGdbM6UeEIfsaX,11,0,0.632,0.788,0.113,0.71,1.22e-05,0.0638,-4.24,0.0426,125.919,4,235493
33,51YhN4y2tOvfI0Sv1hoBRo,0,1,0.934,0.578,0.0267,0.9,0.0,0.287,-2.501,0.0443,92.011,4,212747
34,3YJkAQNEhmCZGLdmPsu6Ye,1,1,0.163,0.31,0.0121,0.746,0.0,0.649,-3.599,0.111,182.032,4,250600
35,35srNkJVToAzYiZzron1FY,9,0,0.103,0.637,0.417,0.69,0.0,0.211,-3.214,0.0693,140.329,4,253907
36,7lWUJpax919G4JdaFEVmCy,10,1,0.519,0.752,0.0843,0.836,0.000425,0.424,-3.173,0.115,120.003,4,172053
37,2IpGdrWvIZipmaxo1YRxw5,1,1,0.329,0.845,0.0205,0.601,0.0,0.385,-5.283,0.161,74.008,4,242013
38,7yws3pF3FFguwT2Psi6c15,11,1,0.803,0.855,0.0242,0.668,0.0,0.102,-4.892,0.0644,125.846,4,210307
39,5XRHGXut00SrJUFmcn2lQF,0,1,0.65,0.529,0.258,0.948,9.35e-06,0.283,-3.527,0.0474,146.024,4,238000
40,72phhQtfwZcRweweRxxkmU,5,1,0.552,0.619,0.0233,0.917,1.21e-05,0.0986,-2.582,0.0507,131.002,4,200347
41,3bMNprrp2JDKZsGbiXpsJl,1,1,0.757,0.624,0.172,0.723,0.0,0.483,-6.782,0.378,84.789,4,216933
42,3GCL1PydwsLodcpv0Ll1ch,6,1,0.443,0.687,0.162,0.783,1.35e-05,0.114,-4.44,0.0386,129.964,4,231133
43,0xfpx7AiwgSKEtjotea2L6,11,0,0.4,0.798,0.00474,0.629,2.17e-05,0.324,-6.857,0.0735,130.0,4,284373
44,0WCiI0ddWiu5F2kSHgfw5S,5,0,0.74,0.729,4.14e-05,0.675,0.00126,0.0867,-5.292,0.0286,125.036,4,215200
45,6BdgtqiV3oXNqBikezwdvC,7,1,0.45,0.35,0.0107,0.845,0.0,0.123,-5.614,0.2,99.643,5,233560
46,1fBl642IhJOE5U319Gy2Go,5,1,0.74,0.482,0.000346,0.833,0.0,0.365,-5.611,0.0449,148.039,4,212293
47,3XojqFisTYTQm2p7HK5p4P,4,0,0.711,0.703,0.000307,0.811,0.0,0.199,-4.873,0.0423,102.979,4,216200
48,5uHYcK0nbEYgRaFTY5BqnP,8,0,0.787,0.549,0.0127,0.932,0.0,0.347,-4.11,0.343,82.439,4,196133
49,0uNMe6UEqe9uGazPgUGnLD,5,0,0.397,0.762,0.113,0.692,0.0,0.094,-3.973,0.0438,114.906,4,208307
50,4faiJXyBflUVVOOE9fxbeg,8,1,0.38,0.42,0.0104,0.787,0.0,0.198,-4.467,0.294,97.967,4,178808
51,3bGxiCPouq52ZtI8ybMCX5,11,1,0.184,0.424,0.00204,0.52,0.00413,0.411,-10.231,0.343,189.629,4,245253
52,68LNIOMjcliUHjW0turxcP,10,0,0.469,0.656,0.00103,0.668,0.000122,0.0825,-5.824,0.0412,96.076,4,203813
53,6wN4nT2qy3MQc098yL3Eu9,1,1,0.217,0.692,0.0324,0.736,0.0,0.0787,-5.109,0.11,73.987,4,276560
54,6pymOcrCnMuCWdgGVTvUgP,5,0,0.787,0.697,0.0452,0.709,0.0,0.138,-1.917,0.0455,134.91,4,213173
55,45EDI3rk0f4cAMt9f8b56R,8,1,0.539,0.599,0.385,0.624,0.0,0.125,-3.631,0.0343,90.034,4,226533
56,3qjKqmA2YeH0a8DRoKj8iy,5,0,0.552,0.471,0.254,0.918,0.0,0.201,-1.422,0.349,108.397,5,357920
57,1MaqkdFNIKPdpQGDzme5ss,0,1,0.25,0.521,0.189,0.702,0.0,0.0962,-5.189,0.0331,127.976,4,242840
58,17tDv8WA8IhqE8qzuQn707,0,1,0.827,0.682,0.00564,0.889,0.0,0.36,-4.166,0.0804,138.021,4,192440
59,4fq2YUONcgrCJ2SPndSeKC,9,1,0.294,0.209,0.217,0.872,0.0,0.0768,-2.996,0.0757,78.139,4,281560
60,5K5LbSTVuKKe1KGMNfBgIW,7,0,0.841,0.715,0.0172,0.907,8.39e-05,0.426,-6.025,0.0993,124.992,4,268840
61,1NhPKVLsHhFUHIOZ32QnS2,2,1,0.376,0.516,0.0717,0.764,0.0,0.115,-6.223,0.0366,148.021,4,224693
62,1YaVmBh7EAeR54FIjuFcb5,10,0,0.875,0.605,0.0185,0.902,1.01e-06,0.0534,-5.406,0.0511,132.612,4,202587
63,4JOP8ELK6AaeySe7sKe996,7,1,0.335,0.596,0.732,0.505,1.97e-05,0.106,-7.892,0.0619,86.097,4,249240
64,4TMWmQem0lF0xdwwoEor9M,10,1,0.277,0.545,0.0139,0.781,0.0,0.161,-3.616,0.185,150.097,4,232507
65,7s1SC0ymhSFkYtigMXu9Pe,7,1,0.577,0.58,0.0536,0.954,0.0,0.353,-2.389,0.15,120.542,5,289973
66,0JcKdUGNR7zI4jJDLyYXbi,1,1,0.836,0.702,0.329,0.795,0.0,0.0505,-4.764,0.0568,83.961,4,247587
