,song_uri,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,duration_ms
42,2rCepRZ8PYZvEaRBMqnft1,7,1,0.51,0.763,0.00313,0.822,0.000145,0.0842,-6.074,0.076,97.515,4,248520
43,2lvk6CUSHz4j8huQ25gH54,6,0,0.86,0.775,0.207,0.378,5.3e-06,0.107,-14.892,0.102,144.16,4,282800
44,6yhwKpKqhBHaP2EC7Q277N,5,1,0.976,0.761,0.0674,0.765,1.19e-05,0.0881,-9.893,0.0329,121.398,4,262827
45,0NSSqYISjnav81CEn6EgBY,5,0,0.0611,0.428,0.626,0.409,0.00961,0.138,-12.346,0.0271,77.906,4,332742
46,1Oz5bcZyzhiaEa3F06EiPY,10,0,0.835,0.834,0.15,0.871,0.0721,0.287,-6.972,0.0821,110.294,4,225840
47,5ScB8GJjSKIe94EBOuVQI4,10,1,0.204,0.574,0.0215,0.802,0.00253,0.0875,-8.436,0.0317,127.828,4,281107
48,40JdsAUNCjvHfXzin6UPIN,0,0,0.662,0.352,0.0892,0.867,0.0,0.153,-4.379,0.0452,205.832,4,234840
49,3U1KpX2tBUYDSfNEulybcN,5,1,0.533,0.679,0.142,0.567,0.0127,0.075,-5.714,0.0251,93.052,4,277507
50,6AgDFWLbbAt2migXMbrhXT,8,0,0.775,0.733,0.0966,0.566,0.0,0.074,-12.06,0.039,141.94,4,275827
51,1B75hgRqe7A4fwee3g3Wmu,11,0,0.866,0.867,0.00456,0.517,0.000339,0.0864,-13.222,0.0875,133.148,4,257360
52,7pJLv39T2zogTmKRJbx2lf,8,1,0.386,0.529,0.318,0.474,0.0064,0.22,-10.272,0.0282,125.893,4,327827
53,1fMvhGvNGrumP5MKKDf61e,0,1,0.905,0.773,0.23,0.617,3.65e-05,0.0623,-10.52,0.027,121.552,4,296133
54,2WE3PjAPesu0SCV6B0jT4Y,5,0,0.902,0.678,0.269,0.714,0.0172,0.364,-9.072,0.0274,114.647,4,290933
55,51i1QRIaCdQat7PZflmpW9,11,0,0.883,0.648,0.00534,0.912,0.00887,0.116,-3.068,0.0587,114.65,4,287933
56,1TYt5etb427hvOod3EKJA5,0,0,0.808,0.727,0.245,0.811,1.22e-05,0.192,-11.547,0.0385,97.098,4,247907
57,4cPQjnRFb2qP52XmMLzg8F,5,1,0.431,0.623,0.0712,0.815,0.000287,0.188,-4.828,0.0297,115.491,4,328600
58,4WxQGUmWBRNovxlF2g8Xdv,10,0,0.618,0.813,0.0341,0.693,0.0,0.121,-8.0,0.266,103.508,4,391693
59,2kESL3CtcNIxrTNCDqesPI,0,1,0.9,0.712,0.113,0.835,0.000214,0.0881,-8.426,0.0309,107.392,4,284373
60,0ygHFKdqHqikl2mOFtGeRQ,5,1,0.674,0.587,0.035,0.661,0.0,0.0677,-6.494,0.0241,84.307,4,258360
61,2nNKXDFRz6cog1kolC3efq,5,0,0.931,0.706,0.144,0.8,0.00137,0.0998,-10.496,0.0468,103.074,4,341960
