,song_uri,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,duration_ms
0,1HOMkjp0nHMaTnfAkslCQj,0,1,0.897,0.586,0.0589,0.7,0.00125,0.0318,-9.558,0.0363,147.245,4,295400
1,3n48NtvOovv1UMTA41zxMn,2,0,0.97,0.872,0.00839,0.873,0.00568,0.451,-6.824,0.0374,120.378,4,295126
2,6Lphpr9Z6H282Sguw0dUWa,7,1,0.89,0.832,0.0422,0.553,0.00356,0.249,-13.705,0.0487,119.825,4,215693
3,3wsPg2KrRYZFi0inIFa41x,2,0,0.877,0.716,0.0107,0.465,0.000667,0.099,-15.205,0.0307,112.087,4,325813
4,2Y18kxNc1F6Ut6t5eyKsRD,5,0,0.346,0.607,0.614,0.462,8.42e-06,0.0724,-10.004,0.0287,75.752,4,340867
5,2DX0WG5OGLQLaXb41Cq1IA,9,0,0.793,0.704,0.0346,0.631,0.0,0.159,-12.299,0.0398,123.286,4,295667
6,1EIpEt0iIma6mDr9B1Agox,0,1,0.964,0.839,0.0111,0.906,0.0377,0.0767,-6.887,0.0332,120.342,4,315745
7,355qbpf35myn397wClXTg8,6,1,0.73,0.694,0.0296,0.968,0.0,0.0493,-3.803,0.155,126.616,4,281120
8,7vvjYyzTMFJVsDRiqNkY5g,5,1,0.974,0.773,0.0843,0.617,0.000952,0.0653,-12.933,0.0356,125.06,4,230880
9,3w3rLh6wmne91BS2rwgcog,0,1,0.687,0.431,0.599,0.463,0.00282,0.132,-7.342,0.0268,107.19,3,253213
10,7rhoAJWAWAyHwSEdH3jqYy,6,1,0.289,0.492,0.339,0.55,5.4e-05,0.684,-8.841,0.0484,166.527,4,295547
11,3yIF4ZfaHPnPxG8tDPoNls,4,0,0.465,0.573,0.0817,0.672,0.000752,0.0601,-12.296,0.0406,131.054,4,235200
12,5hZEoJNMf6VGaKQ177GQKv,8,1,0.782,0.653,0.266,0.742,0.000355,0.129,-9.902,0.0397,110.71,4,173493
13,035Ag6mdG1EWFZvgdnK8lK,0,1,0.926,0.882,0.0475,0.562,0.374,0.0338,-7.67,0.0368,129.99,4,189583
14,3Cq40B2ilP5sPp0Qi9HskR,1,1,0.666,0.731,0.168,0.547,3.22e-05,0.108,-11.149,0.0424,118.203,4,206467
15,0zGvSirIs0OfXOgBBAGNW3,2,1,0.777,0.677,0.0444,0.618,0.031,0.432,-6.866,0.0264,118.4,4,302067
16,22esOORsU4VaAMkThygXgm,8,1,0.528,0.708,0.0274,0.598,0.00628,0.105,-8.311,0.0331,99.834,4,207573
17,0a4agFmqHXxcZl1nho1BxM,4,1,0.845,0.694,0.015,0.577,0.00836,0.0853,-14.63,0.0308,114.478,4,275733
18,31HOUWxaaqIedY0fULlGa5,8,0,0.981,0.754,0.482,0.483,0.0,0.0465,-10.189,0.0388,121.098,4,222707
19,0G3fbPbE1vGeABDEZF0jeG,2,1,0.893,0.87,0.149,0.657,0.0102,0.053,-7.32,0.0522,110.596,4,495400
20,2VT66BTPaKzJLKbymC2DkR,0,1,0.251,0.184,0.887,0.259,1.6e-05,0.149,-11.099,0.0381,80.461,3,195347
21,081prZUECLXcWgmg98FxDS,2,1,0.914,0.689,0.0019,0.805,8.23e-05,0.0683,-11.199,0.0429,140.791,4,250520
22,6L1Ay5OhRH2Yz38Aa4QZio,7,1,0.905,0.758,0.127,0.634,0.000431,0.337,-13.338,0.0324,129.29,4,239240
23,2RgosPJAIbwCgA7XpTEf4A,1,1,0.52,0.418,0.782,0.455,0.000658,0.106,-11.027,0.0334,140.58,4,165707
24,7g4I3DeFlZLeqMjw0ONBqs,0,1,0.816,0.82,0.0208,0.613,0.000101,0.372,-9.152,0.0606,117.602,4,479440
25,0m6bu7QJn8HJJUEfqYY5nI,10,1,0.289,0.422,0.455,0.408,8.29e-05,0.151,-13.706,0.0326,77.875,4,229867
26,6mHOcVtsHLMuesJkswc0GZ,5,0,0.695,0.625,0.512,0.758,0.00022,0.153,-6.213,0.0463,119.719,4,251253
27,6Ep2XErOa5SCBGzARBpCr4,2,1,0.705,0.726,0.136,0.857,0.00025,0.0919,-6.107,0.0359,131.08,4,281973
28,55wl56WlKI85UBNZoFxe9P,9,1,0.346,0.583,0.615,0.313,0.0,0.121,-14.36,0.0256,96.717,4,241747
29,5vIvHVCP0n6EXTMH0fOpAp,1,0,0.892,0.691,0.27,0.706,0.0,0.272,-5.983,0.115,169.722,4,203080
30,7hzY0LHz8KdEr1PowHhbdu,9,1,0.917,0.867,0.45,0.73,0.0143,0.0817,-6.605,0.0496,132.57,4,346133
31,25kYvXbKVoh3oQD3OwozhK,2,1,0.315,0.381,0.453,0.286,1.48e-06,0.109,-13.107,0.0287,130.767,4,211267
32,6sPTRqvvCcXAvQgjq8tc8T,11,0,0.828,0.711,0.313,0.688,7.79e-05,0.198,-5.905,0.0343,95.076,4,250693
33,1mXXf7ztqQei9qUXliL19H,2,1,0.736,0.806,0.78,0.462,0.0134,0.15,-12.778,0.0298,92.726,4,191227
34,2g5jMKl1csCP8Ufp1rUnqC,7,1,0.684,0.647,0.0502,0.875,0.0,0.172,-8.503,0.0431,137.391,4,293933
35,4Q6TlUHwrkcBh1dLef889p,5,1,0.6,0.514,0.645,0.502,0.0,0.117,-13.415,0.0431,93.339,4,245227
36,3kovBaZ1LGLH1PL31qG7cL,11,0,0.837,0.689,0.0319,0.584,0.00275,0.327,-13.957,0.0314,127.132,4,196440
37,5Kmwwpu1FdXcZny7n8iBMo,6,1,0.358,0.426,0.58,0.477,0.000149,0.53,-12.722,0.0423,133.76,4,264040
38,7DP5B02fBiyLwFXsNGKhcH,1,1,0.855,0.695,0.198,0.887,8.43e-06,0.592,-6.364,0.06,131.983,4,218373
39,5KqldkCunQ2rWxruMEtGh0,4,1,0.86,0.671,0.342,0.501,0.0,0.194,-13.119,0.0594,87.04,4,214880
40,2bS2tETCzUmjALnXEvhOGo,5,0,0.895,0.646,0.159,0.406,0.00114,0.27,-15.616,0.0264,113.708,4,191773
41,2Pw0QFsYk7HvX9GLXAw6Y1,2,1,0.317,0.455,0.513,0.432,0.0,0.0472,-8.398,0.0317,122.868,4,296027
42,7p4Yw9WPiAuJaN51H4CRqo,0,1,0.911,0.866,0.0927,0.721,0.0169,0.055,-9.233,0.0386,128.669,4,434307
43,4aVuWgvD0X63hcOCnZtNFA,6,0,0.808,0.473,0.00783,0.898,0.0618,0.173,-4.797,0.0561,96.556,4,235547
44,5MuNxNox3zTanAFIO5KcTl,7,0,0.837,0.7,0.00115,0.815,0.00124,0.0901,-9.711,0.044,113.245,4,375400
45,3GEQKzK6WCsLKaLYeVCH88,4,1,0.8,0.641,0.628,0.566,0.0,0.061,-12.715,0.0512,77.337,4,172013
46,5ggOAMsJCAYDHnyoqJ0xAD,10,1,0.313,0.32,0.484,0.413,4.97e-06,0.346,-12.472,0.0314,142.765,4,258720
47,2LanD0VjejboQUDjuSHTEf,7,0,0.858,0.76,0.215,0.906,0.0,0.114,-10.295,0.0575,126.215,4,223667
48,4zvcdfyrGUGgJRsgiCJlVX,1,1,0.794,0.467,0.572,0.471,0.824,0.122,-13.761,0.039,132.164,4,192360
49,6KjJGpDZ4wdshirWmqBcT3,0,1,0.948,0.55,0.205,0.563,2.81e-05,0.0638,-9.659,0.0603,134.559,4,214600
50,4BdIF3xsMAUhOjuh0BSzOo,9,0,0.519,0.692,0.464,0.598,1.2e-06,0.0926,-7.893,0.0373,124.045,4,244133
51,5AD7iwvIzbiABVsMndAmez,1,0,0.943,0.748,0.0566,0.683,0.000639,0.0809,-9.885,0.0466,123.384,4,260800
52,0x3VuSP9TB6yHSpkHB2nPv,8,1,0.845,0.79,0.279,0.86,3.4e-05,0.229,-6.914,0.0863,118.971,4,216533
53,6phjC8JVoUxeRcuPEGrbYq,2,1,0.868,0.606,0.0261,0.716,5.82e-06,0.13,-5.47,0.0285,112.299,4,197467
54,5MXXbGYNmRHR7ULMvZYo5R,10,1,0.929,0.727,0.0621,0.548,0.516,0.133,-7.393,0.0291,107.826,4,289267
55,1wM8UDrtBxRZCv5gszeDHr,4,1,0.896,0.706,0.00841,0.661,5.66e-06,0.0377,-7.693,0.0694,121.031,4,406267
56,0jyElqUm59deyol951jPsr,2,0,0.967,0.802,0.0996,0.825,0.0175,0.0205,-9.63,0.0327,131.795,4,287027
57,01UoL2TMosSGESoK7TqGr3,5,1,0.273,0.363,0.388,0.395,6.88e-06,0.399,-10.045,0.0453,142.477,4,251440
58,03Rjf1kADLYV5sHAh2FiJc,6,1,0.804,0.642,0.457,0.391,0.000718,0.247,-16.87,0.076,84.074,4,286493
59,1BvpeiApX8qhof8Pmi3YlH,4,1,0.846,0.826,0.61,0.608,0.000164,0.116,-8.442,0.162,95.085,4,183693
60,6cr6UDpkjEaMQ80OjWqEBQ,5,1,0.923,0.73,0.0632,0.868,0.0661,0.318,-7.325,0.0288,148.217,4,350400
61,0K5SvPs0xOr6ZkCwtkMeWa,5,1,0.937,0.706,0.0232,0.723,0.0441,0.0994,-9.235,0.0382,113.121,4,415467
62,4Ym8RapJbNTvnnzlghWtKH,9,1,0.75,0.797,0.288,0.398,0.0,0.104,-10.789,0.0664,113.204,4,209613
63,6c0G8K6G2LlIfJTsRLJjfs,0,1,0.949,0.693,0.309,0.708,0.00305,0.0857,-7.816,0.031,125.315,4,187973
64,6EOdY7I7Xm1vPP1cyaGbWZ,1,1,0.87,0.747,0.127,0.701,0.0,0.084,-7.7,0.0453,112.964,4,220867
65,3OZ40egQbNWeTe0BnR2QKa,0,1,0.439,0.466,0.0928,0.548,0.0,0.293,-8.321,0.0252,109.964,4,237973
66,1FOUJzuApMpMM1wiuy3qfl,2,0,0.681,0.468,0.112,0.733,3.26e-06,0.153,-6.36,0.0446,105.793,4,253893
67,7xKGghZ59EGUT0Ft9BRVMr,3,1,0.538,0.384,0.199,0.569,0.000367,0.182,-11.974,0.0512,203.105,4,281293
68,1wRHNlEjTmpaXv99BFAGnV,9,0,0.861,0.797,0.048,0.697,0.00535,0.0808,-8.659,0.0472,114.65,4,222427
69,3XIEWK1V9n25PS9Vb6axj5,2,1,0.809,0.704,0.0846,0.867,0.0,0.206,-5.808,0.0315,131.467,4,188133
70,39FY3jwMl35qjenabCZ66S,7,1,0.95,0.714,0.146,0.689,0.00613,0.318,-8.504,0.028,133.176,4,251467
71,2U2pVqns9tVVvjO6gIXpTF,0,1,0.114,0.48,0.449,0.209,1.45e-05,0.137,-14.718,0.0288,132.761,4,171027
72,0ZHTm7aQvmHNA9Hj7LEM2W,4,1,0.835,0.789,0.154,0.481,6.03e-05,0.0758,-12.509,0.0285,130.765,4,205000
73,5CwXseLRFIYkwzyJfDkG6G,4,1,0.861,0.723,0.0981,0.868,2.48e-05,0.0748,-5.404,0.0564,128.39,4,271667
74,14pIl60LfvAB2XMdsDEaqj,9,1,0.635,0.598,0.395,0.768,5.9e-05,0.0867,-5.312,0.034,138.996,4,220747
75,2dZVfFCuI0PGE6jYF4pfHo,5,0,0.964,0.765,0.0166,0.713,0.000644,0.0678,-8.398,0.0526,123.12,4,233267
76,3SajWwYRQ1JrT8VcFMLZGH,7,1,0.339,0.471,0.854,0.252,0.000512,0.102,-10.225,0.0322,166.822,3,197507
77,6IWkdrBY2O0vfQdfEKGUdF,9,1,0.981,0.693,0.162,0.825,0.00144,0.251,-7.308,0.0301,125.892,4,215093
78,5zVKisBri6JH1fooBhUaVq,3,1,0.603,0.694,0.357,0.649,0.00258,0.0868,-7.176,0.0281,111.98,4,403040
79,7znZstuIvZjldNIO1E11U4,10,1,0.903,0.814,0.133,0.454,0.839,0.0863,-10.802,0.0413,99.265,4,457400
80,7eKQa2oSUyWcmvXn4DqHkk,9,1,0.798,0.636,0.161,0.866,0.0012,0.066,-6.817,0.0331,115.689,4,243667
81,1CsujHyoEs1hna69aoRREf,7,1,0.695,0.551,0.576,0.56,0.474,0.131,-11.741,0.0299,153.81,4,177587
82,4lFO4X6ef61SR6M1KXkSRN,0,1,0.899,0.661,0.0986,0.842,0.000124,0.0534,-6.893,0.047,85.427,4,182120
83,30OYvco4YZRz3wF2SP2VZC,4,1,0.54,0.676,0.243,0.508,0.0,0.435,-8.836,0.0263,95.407,4,282373
84,0VialngaCDUeHpLNUOMYXO,5,0,0.674,0.624,0.321,0.402,1.03e-05,0.102,-11.07,0.0541,143.607,4,258827
85,6ixpB9xuMwMj4skSaF0Pay,11,1,0.281,0.324,0.465,0.6,2.03e-05,0.36,-7.681,0.0353,141.418,4,197107
86,1NpkWVD9BYJKJ9viIIqMAi,5,1,0.212,0.539,0.25,0.418,1.02e-06,0.147,-11.039,0.0391,136.439,4,232467
87,4ewmSyDLQ8Bl3Y6nRQsL7Q,9,0,0.799,0.634,0.165,0.833,4.63e-05,0.162,-5.117,0.0323,129.587,4,224613
88,1jGiy93b3tO4HSYDIJ0zNP,7,1,0.393,0.641,0.00881,0.699,0.0855,0.833,-8.308,0.03,128.021,4,204375
89,1ZfFuWHjk2QD6pkkncpjHy,10,1,0.638,0.656,0.000155,0.888,0.00948,0.202,-8.745,0.0434,110.311,4,201053
