,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood
37,Overplayed,Overplayed,Thomas Day,2021-11-05,182840,53,0.514,0.804,0.514,0.356,0.0,0.087,-8.696,0.0364,139.708,4,1
38,Rockland,Rockland,Gracie Abrams,2021-10-22,217368,66,0.486,0.786,0.486,0.402,0.000182,0.103,-11.389,0.048,125.801,4,1
39,Learning To Live Without You,Learning To Live Without You,Hajaj,2021-10-15,193784,55,0.559,0.747,0.559,0.237,2.05e-06,0.125,-15.007,0.0537,67.442,4,1
40,Easy On Me,Easy On Me,Adele,2021-10-14,224694,100,0.604,0.578,0.604,0.366,0.0,0.133,-7.519,0.0282,141.981,4,1
41,I Can Be That Woman,Voyage,ABBA,2021-11-05,241893,70,0.588,0.837,0.588,0.358,0.0,0.106,-11.302,0.0337,133.932,4,1
42,South Dakota,South Dakota,JORDY,2021-10-27,191090,52,0.679,0.691,0.679,0.332,0.0,0.372,-8.348,0.0424,130.013,4,1
43,What A Time (feat. Niall Horan),Inner Monologue Part 1,Julia Michaels,2019-01-24,173306,84,0.516,0.662,0.516,0.467,0.0,0.0853,-6.184,0.0302,132.861,4,1
44,The Night You Left,The Night You Left,Ashley Kutcher,2021-10-29,159808,58,0.307,0.397,0.307,0.521,0.0,0.123,-8.41,0.0848,83.155,4,1
45,Remember That Night?,Remember That Night?,Sara Kays,2020-11-06,227186,79,0.679,0.585,0.679,0.61,9.51e-05,0.156,-10.936,0.0305,123.978,4,1
46,Villain in Me,Villain in Me,Tenille Townes,2021-11-05,217155,51,0.467,0.53,0.467,0.312,9.4e-06,0.0845,-11.64,0.0378,76.369,4,1
47,Never the 1,Never the 1,ROSIE,2020-10-30,171960,63,0.483,0.906,0.483,0.27,0.0,0.12,-11.902,0.266,78.49,4,1
48,I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,Clinton Kane,2021-08-20,204093,87,0.422,0.877,0.422,0.34,1.77e-05,0.149,-6.577,0.0351,77.213,4,1
49,July,July,Noah Cyrus,2019-07-31,156106,2,0.708,0.868,0.708,0.186,0.0,0.0779,-8.953,0.0422,72.541,4,1
50,People Watching,People Watching,Conan Gray,2021-07-15,158536,80,0.53,0.385,0.53,0.593,0.0,0.314,-7.286,0.0545,125.723,4,1
51,wish i loved you in the 90s,TOO YOUNG TO BE SAD,Tate McRae,2021-03-26,176853,63,0.435,0.871,0.435,0.481,0.0,0.136,-8.787,0.0327,77.398,4,1
52,Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,93,0.332,0.767,0.332,0.225,0.00349,0.128,-8.697,0.0348,81.055,3,1
53,GHOST TOWN,GHOST TOWN,Benson Boone,2021-10-15,193733,85,0.391,0.389,0.391,0.335,0.0,0.102,-10.064,0.0763,174.185,3,1
54,Falling,Fine Line,Harry Styles,2019-12-13,240133,85,0.567,0.839,0.567,0.267,1.46e-06,0.089,-6.502,0.0299,110.011,4,1
55,drivers license,drivers license,Olivia Rodrigo,2021-01-08,242013,43,0.585,0.721,0.585,0.436,1.31e-05,0.105,-8.761,0.0601,143.874,4,1
56,Love You From a Distance,Love You From a Distance,Ashley Kutcher,2020-10-30,204000,70,0.333,0.557,0.333,0.538,0.0,0.0977,-8.653,0.0325,149.377,4,1
