,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
50,Six Feet Under,Six Feet Under,Billie Eilish,2016-11-17,189613,0,0.573,0.803,0.573,0.3,0.000338,0.0773,-12.774,0.0366,67.511,4
51,Be Alright,Be Alright,Dean Lewis,2018-06-29,196373,81,0.553,0.697,0.553,0.586,0.0,0.0813,-6.319,0.0362,126.684,4
52,For The Lover That I Lost,Love Goes,Sam Smith,2020-10-30,179722,61,0.494,0.815,0.494,0.291,0.0,0.127,-8.441,0.0367,136.99,4
53,Naked,Naked,James Arthur,2017-11-24,234106,72,0.529,0.104,0.529,0.607,0.0,0.0631,-6.781,0.0574,101.966,4
54,bad ones,TOO YOUNG TO BE SAD,Tate McRae,2021-03-26,183133,65,0.692,0.305,0.692,0.431,1.39e-05,0.132,-11.884,0.0335,138.925,4
55,Hold Me Like You Used To,Golden Wings,Zoe Wees,2021-05-21,186974,65,0.573,0.528,0.573,0.59,0.0,0.192,-6.308,0.0352,124.958,3
56,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,291796,80,0.421,0.952,0.421,0.131,0.00453,0.109,-18.435,0.0382,137.446,4
57,Lying That You Love Me,Lying That You Love Me,JC Stewart,2020-02-21,225792,58,0.558,0.291,0.558,0.45,0.0,0.432,-5.576,0.0299,127.874,4
58,I Can't Fall in Love Without You,So Good,Zara Larsson,2017-03-17,180640,68,0.485,0.784,0.485,0.332,0.000122,0.146,-9.244,0.0338,130.813,4
59,The Night We Met,Strange Trails,Lord Huron,2015-04-06,208211,3,0.443,0.969,0.443,0.369,0.277,0.638,-9.514,0.0441,174.107,3
60,Superficial Love,The Intro,Ruth B.,2015-11-27,207973,68,0.477,0.928,0.477,0.242,0.0,0.0818,-9.162,0.0529,43.509,4
61,Atlantis,Tell Me It's Real (Expanded Edition),Seafret,2016-01-29,229173,74,0.4,0.0529,0.4,0.479,2.14e-06,0.115,-7.989,0.0308,166.159,4
62,Too Good At Goodbyes - Edit,Too Good At Goodbyes,Sam Smith,2017-09-08,201000,0,0.653,0.658,0.653,0.378,0.0,0.177,-8.273,0.0533,91.835,4
63,Certain Things (feat. Chasing Grace),James Arthur (Deluxe),James Arthur,2013-11-04,233466,61,0.511,0.471,0.511,0.621,9.72e-05,0.0893,-8.751,0.123,129.885,4
64,"1 step forward, 3 steps back",SOUR,Olivia Rodrigo,2021-05-21,163586,80,0.473,0.941,0.473,0.203,0.0,0.126,-12.627,0.102,168.884,4
65,Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,2018-11-30,256688,72,0.572,0.835,0.572,0.155,0.000137,0.0906,-14.405,0.0344,109.923,3
66,You Said You'd Grow Old With Me,Wide Awake,Michael Schulte,2012-09-28,224743,67,0.531,0.905,0.531,0.347,0.0,0.0935,-7.044,0.0345,114.441,4
67,The Fault in Our Stars,The Fault in Our Stars,Troye Sivan,2013-05-05,187194,63,0.481,0.613,0.481,0.179,2.84e-05,0.145,-21.424,0.109,74.85,4
68,When You Love Someone,First Impressions,James TW,2016-04-15,216373,0,0.68,0.256,0.68,0.446,0.0,0.0515,-6.039,0.0281,125.863,4
69,Love You Goodbye,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,196933,67,0.546,0.0928,0.546,0.657,0.0,0.119,-4.787,0.0332,133.188,4
70,Sad Song (feat. Elena Coats),Somewhere Somehow,We The Kings,2013-12-16,226330,0,0.512,0.0843,0.512,0.559,0.0,0.0696,-5.498,0.0253,85.017,4
71,Nothing Like Us,Believe Acoustic,Justin Bieber,2013-01-01,199800,64,0.546,0.987,0.546,0.155,6.02e-05,0.18,-14.378,0.0428,72.331,4
72,Favourite Ex,Favourite Ex,Maisie Peters,2019-04-12,201694,65,0.396,0.718,0.396,0.177,0.0,0.139,-10.277,0.0378,177.215,3
73,Heart Like Yours,If I Stay (Original Motion Picture Soundtrack),Various Artists,2014-08-22,199960,63,0.465,0.874,0.465,0.259,0.0,0.102,-9.849,0.0318,93.301,4
74,River Of Tears,Know-It-All (Deluxe),Alessia Cara,2015-11-13,254506,61,0.388,0.928,0.388,0.372,0.0,0.146,-5.72,0.0468,89.701,4
75,Wait for You (feat. Zoe Wees),Wait for You (feat. Zoe Wees),Tom Walker,2020-09-11,153026,67,0.502,0.366,0.502,0.65,0.0,0.0956,-4.27,0.0531,159.78,4
76,Mercy,Illuminate (Deluxe),Shawn Mendes,2016-09-23,208733,0,0.562,0.113,0.562,0.681,0.0,0.11,-4.934,0.0871,148.064,4
77,A Thousand Years,A Thousand Years,Christina Perri,2011-10-18,285120,80,0.421,0.309,0.421,0.407,0.000961,0.11,-7.445,0.0267,139.028,3
78,Impossible,James Arthur (Deluxe),James Arthur,2013-11-04,209440,77,0.376,0.135,0.376,0.695,0.0,0.11,-4.782,0.0933,169.533,4
79,I Found,Pilot EP,Amber Run,2014-09-21,274226,59,0.28,0.879,0.28,0.317,0.00731,0.108,-12.433,0.0474,186.471,3
80,Take Me Home,I Cry When I Laugh,Jess Glynne,2015,265381,69,0.558,0.292,0.558,0.451,0.0,0.101,-6.163,0.0388,150.008,4
81,All I Ever Need,The Secret,Austin Mahone,2014-05-23,213680,0,0.704,0.104,0.704,0.609,0.0,0.112,-6.158,0.0304,129.945,4
82,"Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Fifty Shades Darker (Original Motion Picture Soundtrack),Various Artists,2017-02-10,252320,0,0.409,0.461,0.409,0.413,0.0,0.0765,-6.722,0.0296,137.02,4
83,Clean,Clean,Travis Atreo,2014-12-29,270000,7,0.4,0.826,0.4,0.25,0.0,0.118,-9.111,0.036,207.528,4
84,Please Don't Go,Please Don't Go,Joel Adams,2015-11-06,210580,73,0.513,0.0118,0.513,0.768,1.94e-05,0.294,-4.868,0.0587,84.264,4
85,Paralyzed,Mansion,NF,2015-03-31,270453,0,0.504,0.187,0.504,0.654,6.45e-06,0.102,-6.662,0.0476,130.027,4
86,You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding,2021-03-19,199144,56,0.701,0.732,0.701,0.39,0.0,0.107,-8.235,0.032,119.956,4
87,Bad,Oh My Messy Mind,James Bay,2019-05-10,225920,63,0.549,0.756,0.549,0.413,0.0,0.0939,-5.587,0.0362,139.981,4
88,Photograph,x (Deluxe Edition),Ed Sheeran,2014-06-21,258986,84,0.614,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4
89,Dear No One,Foreword,Tori Kelly,2013-01-01,197846,0,0.68,0.123,0.68,0.585,0.0,0.103,-5.898,0.249,83.791,4
90,i don't think i love you anymore,i don't think i love you anymore,Alaina Castillo,2019-10-18,229383,56,0.557,0.731,0.557,0.358,6.14e-06,0.163,-7.095,0.0329,72.877,4
91,Anchor,Anchor,Cailee Rae,2016-05-13,198483,0,0.565,0.22,0.565,0.719,0.00105,0.164,-5.656,0.0978,165.917,4
92,All I Want,All I Want,Emma Bale,2014-12-09,222675,0,0.279,0.94,0.279,0.146,7.44e-06,0.113,-8.956,0.0409,179.726,3
93,Lost Boy,Lost Boy,Ruth B.,2015-08-21,275280,75,0.71,0.965,0.71,0.0565,0.0,0.0889,-15.099,0.0534,123.994,4
94,Anyone,Anyone,Demi Lovato,2020-01-27,227813,57,0.557,0.876,0.557,0.387,0.0,0.111,-6.338,0.0374,129.98,4
95,Too Much To Ask,Too Much To Ask,Niall Horan,2017-09-14,223043,0,0.517,0.375,0.517,0.552,0.0,0.106,-6.401,0.039,153.747,4
96,Heal,Long Way Down (Deluxe),Tom Odell,2013-06-24,193080,73,0.445,0.952,0.445,0.179,0.00056,0.107,-12.938,0.0396,72.246,4
97,I Was Made For Loving You,Unbreakable Smile (Deluxe),Tori Kelly,2015-10-16,188939,0,0.381,0.33,0.381,0.344,0.0,0.0973,-11.939,0.0311,109.289,3
98,Lay By Me,Lay By Me,Ruben,2018-12-28,170830,0,0.461,0.873,0.461,0.195,0.0,0.11,-7.301,0.0352,110.193,4
99,when the party's over,when the party's over,Billie Eilish,2018-10-17,199931,1,0.498,0.979,0.498,0.104,7.86e-05,0.0895,-14.08,0.0621,124.001,3
